n, p, rho_spec, rho_supp, alpha_scnr, inst, status, sol_time
5,1,0.040,0.70,4,5,solved,0.062
5,2,0.080,0.30,1,1,solved,0.016
5,2,0.080,0.30,1,2,solved,0.031
5,2,0.080,0.30,1,3,solved,0.125
5,2,0.080,0.30,1,4,solved,0.031
5,2,0.080,0.30,1,5,solved,0.016
5,2,0.080,0.30,2,1,solved,0.016
5,2,0.080,0.30,2,2,infeasible,0.000
5,2,0.080,0.30,2,3,infeasible,0.000
5,2,0.080,0.30,2,4,solved,0.016
5,2,0.080,0.30,2,5,infeasible,0.000
5,2,0.080,0.30,3,1,infeasible,0.000
5,2,0.080,0.30,3,2,solved,0.047
5,2,0.080,0.30,3,3,infeasible,0.000
5,2,0.080,0.30,3,4,infeasible,0.000
5,2,0.080,0.30,3,5,solved,0.188
5,2,0.080,0.30,4,1,solved,0.047
5,2,0.080,0.30,4,2,infeasible,0.000
5,2,0.080,0.30,4,3,solved,0.062
5,2,0.080,0.30,4,4,solved,0.031
5,2,0.080,0.30,4,5,solved,0.031
5,2,0.080,0.50,1,1,solved,0.047
5,2,0.080,0.50,1,2,solved,0.109
5,2,0.080,0.50,1,3,solved,0.016
5,2,0.080,0.50,1,4,solved,0.062
5,2,0.080,0.50,1,5,solved,0.016
5,2,0.080,0.50,2,1,solved,0.172
5,2,0.080,0.50,2,2,solved,0.047
5,2,0.080,0.50,2,3,solved,0.016
5,2,0.080,0.50,2,4,solved,0.031
5,2,0.080,0.50,2,5,solved,0.062
5,2,0.080,0.50,3,1,solved,0.375
5,2,0.080,0.50,3,2,solved,0.062
5,2,0.080,0.50,3,3,solved,0.094
5,2,0.080,0.50,3,4,solved,0.203
5,2,0.080,0.50,3,5,solved,0.219
5,2,0.080,0.50,4,1,solved,0.203
5,2,0.080,0.50,4,2,solved,0.172
5,2,0.080,0.50,4,3,solved,0.062
5,2,0.080,0.50,4,4,solved,0.016
5,2,0.080,0.50,4,5,solved,0.031
5,2,0.080,0.70,1,1,solved,0.031
5,2,0.080,0.70,1,2,solved,0.031
5,2,0.080,0.70,1,3,solved,0.031
5,2,0.080,0.70,1,4,solved,0.422
5,2,0.080,0.70,1,5,solved,0.500
5,2,0.080,0.70,2,1,solved,0.047
5,2,0.080,0.70,2,2,solved,0.078
5,2,0.080,0.70,2,3,solved,0.203
5,2,0.080,0.70,2,4,solved,0.016
5,2,0.080,0.70,2,5,solved,0.047
5,2,0.080,0.70,3,1,solved,0.062
5,2,0.080,0.70,3,2,solved,0.203
5,2,0.080,0.70,3,3,solved,0.078
5,2,0.080,0.70,3,4,solved,0.219
5,2,0.080,0.70,3,5,solved,0.141
5,2,0.080,0.70,4,1,solved,0.125
5,2,0.080,0.70,4,2,solved,0.078
5,2,0.080,0.70,4,3,solved,0.203
5,2,0.080,0.70,4,4,solved,0.062
5,2,0.080,0.70,4,5,solved,0.031
10,2,0.020,0.30,1,1,solved,0.156
10,2,0.020,0.30,1,2,solved,0.047
10,2,0.020,0.30,1,3,solved,0.156
10,2,0.020,0.30,1,4,solved,0.250
10,2,0.020,0.30,1,5,solved,0.172
10,2,0.020,0.30,2,1,solved,0.438
10,2,0.020,0.30,2,2,solved,0.438
10,2,0.020,0.30,2,3,solved,0.797
10,2,0.020,0.30,2,4,solved,0.500
10,2,0.020,0.30,2,5,solved,0.500
10,2,0.020,0.30,3,1,solved,0.312
10,2,0.020,0.30,3,2,solved,0.219
10,2,0.020,0.30,3,3,solved,0.250
10,2,0.020,0.30,3,4,solved,0.094
10,2,0.020,0.30,3,5,solved,0.250
10,2,0.020,0.30,4,1,solved,1.125
10,2,0.020,0.30,4,2,solved,0.531
10,2,0.020,0.30,4,3,solved,0.938
10,2,0.020,0.30,4,4,solved,0.219
10,2,0.020,0.30,4,5,solved,0.594
10,2,0.020,0.50,1,1,solved,0.234
10,2,0.020,0.50,1,2,solved,0.156
10,2,0.020,0.50,1,3,solved,0.297
10,2,0.020,0.50,1,4,solved,0.062
10,2,0.020,0.50,1,5,solved,0.031
10,2,0.020,0.50,2,1,solved,0.469
10,2,0.020,0.50,2,2,solved,0.750
10,2,0.020,0.50,2,3,solved,0.688
10,2,0.020,0.50,2,4,solved,0.406
10,2,0.020,0.50,2,5,solved,1.234
10,2,0.020,0.50,3,1,solved,0.438
10,2,0.020,0.50,3,2,solved,0.109
10,2,0.020,0.50,3,3,solved,0.391
10,2,0.020,0.50,3,4,solved,0.469
10,2,0.020,0.50,3,5,solved,0.141
10,2,0.020,0.50,4,1,solved,0.500
10,2,0.020,0.50,4,2,solved,0.734
10,2,0.020,0.50,4,3,solved,0.391
10,2,0.020,0.50,4,4,solved,0.547
10,2,0.020,0.50,4,5,solved,0.719
10,2,0.020,0.70,1,1,solved,0.188
10,2,0.020,0.70,1,2,solved,0.266
10,2,0.020,0.70,1,3,solved,0.375
10,2,0.020,0.70,1,4,solved,0.234
10,2,0.020,0.70,1,5,solved,0.188
10,2,0.020,0.70,2,1,solved,0.812
10,2,0.020,0.70,2,2,solved,0.281
10,2,0.020,0.70,2,3,solved,0.281
10,2,0.020,0.70,2,4,solved,1.578
10,2,0.020,0.70,2,5,solved,0.859
10,2,0.020,0.70,3,1,solved,0.141
10,2,0.020,0.70,3,2,solved,0.266
10,2,0.020,0.70,3,3,solved,0.203
10,2,0.020,0.70,3,4,solved,0.438
10,2,0.020,0.70,3,5,solved,0.141
10,2,0.020,0.70,4,1,solved,0.781
10,2,0.020,0.70,4,2,solved,0.812
10,2,0.020,0.70,4,3,solved,0.312
10,2,0.020,0.70,4,4,solved,0.359
10,2,0.020,0.70,4,5,solved,0.578
10,3,0.030,0.30,1,1,solved,0.250
10,3,0.030,0.30,1,2,solved,0.172
10,3,0.030,0.30,1,3,solved,0.141
10,3,0.030,0.30,1,4,solved,0.141
10,3,0.030,0.30,1,5,solved,0.125
10,3,0.030,0.30,2,1,solved,2.125
10,3,0.030,0.30,2,2,solved,1.469
10,3,0.030,0.30,2,3,solved,1.625
10,3,0.030,0.30,2,4,solved,1.516
10,3,0.030,0.30,2,5,solved,1.875
10,3,0.030,0.30,3,1,solved,0.562
10,3,0.030,0.30,3,2,solved,0.234
10,3,0.030,0.30,3,3,solved,0.828
10,3,0.030,0.30,3,4,solved,0.734
10,3,0.030,0.30,3,5,solved,0.703
10,3,0.030,0.30,4,1,solved,0.438
10,3,0.030,0.30,4,2,solved,1.656
10,3,0.030,0.30,4,3,solved,0.984
10,3,0.030,0.30,4,4,solved,0.281
10,3,0.030,0.30,4,5,solved,0.500
10,3,0.030,0.50,1,1,solved,0.500
10,3,0.030,0.50,1,2,solved,0.219
10,3,0.030,0.50,1,3,solved,0.391
10,3,0.030,0.50,1,4,solved,0.281
10,3,0.030,0.50,1,5,solved,0.094
10,3,0.030,0.50,2,1,solved,2.000
10,3,0.030,0.50,2,2,solved,1.422
10,3,0.030,0.50,2,3,solved,2.000
10,3,0.030,0.50,2,4,solved,1.672
10,3,0.030,0.50,2,5,solved,1.781
10,3,0.030,0.50,3,1,solved,1.469
10,3,0.030,0.50,3,2,solved,1.281
10,3,0.030,0.50,3,3,solved,0.594
10,3,0.030,0.50,3,4,solved,0.391
10,3,0.030,0.50,3,5,solved,0.484
10,3,0.030,0.50,4,1,solved,1.172
10,3,0.030,0.50,4,2,solved,0.234
10,3,0.030,0.50,4,3,solved,0.469
10,3,0.030,0.50,4,4,solved,1.188
10,3,0.030,0.50,4,5,solved,0.375
10,3,0.030,0.70,1,1,solved,0.188
10,3,0.030,0.70,1,2,solved,0.203
10,3,0.030,0.70,1,3,solved,0.094
10,3,0.030,0.70,1,4,solved,0.125
10,3,0.030,0.70,1,5,solved,0.203
10,3,0.030,0.70,2,1,solved,2.609
10,3,0.030,0.70,2,2,solved,2.000
10,3,0.030,0.70,2,3,solved,2.547
10,3,0.030,0.70,2,4,solved,0.422
10,3,0.030,0.70,2,5,solved,1.172
10,3,0.030,0.70,3,1,solved,0.438
10,3,0.030,0.70,3,2,solved,0.812
10,3,0.030,0.70,3,3,solved,0.375
10,3,0.030,0.70,3,4,solved,0.453
10,3,0.030,0.70,3,5,solved,0.547
10,3,0.030,0.70,4,1,solved,0.750
10,3,0.030,0.70,4,2,solved,0.484
10,3,0.030,0.70,4,3,solved,0.484
10,3,0.030,0.70,4,4,solved,0.359
10,3,0.030,0.70,4,5,solved,0.625
10,5,0.050,0.30,1,1,solved,0.344
10,5,0.050,0.30,1,2,solved,0.438
10,5,0.050,0.30,1,3,solved,0.188
10,5,0.050,0.30,1,4,solved,0.734
10,5,0.050,0.30,1,5,solved,0.594
10,5,0.050,0.30,2,1,solved,4.094
10,5,0.050,0.30,2,2,solved,2.594
10,5,0.050,0.30,2,3,solved,2.750
10,5,0.050,0.30,2,4,solved,2.891
10,5,0.050,0.30,2,5,solved,2.016
