n, p, rho_spec, rho_supp, alpha_scnr, inst, status, sol_time
20,5,0.013,0.70,3,1,solved,90.750
20,5,0.013,0.70,3,2,solved,105.953
20,5,0.013,0.70,3,3,solved,19.703
20,5,0.013,0.70,3,4,solved,36.578
20,5,0.013,0.70,3,5,solved,4.141
20,5,0.013,0.70,4,1,solved,8.016
20,5,0.013,0.70,4,2,solved,34.609
20,5,0.013,0.70,4,3,solved,282.422
20,5,0.013,0.70,4,4,solved,79.047
20,5,0.013,0.70,4,5,solved,59.250
20,10,0.025,0.30,1,1,solved,53.875
20,10,0.025,0.30,1,2,solved,94.188
20,10,0.025,0.30,1,3,solved,10.062
20,10,0.025,0.30,1,4,solved,77.078
20,10,0.025,0.30,1,5,solved,80.359
20,10,0.025,0.30,2,1,solved,2309.469
20,10,0.025,0.30,2,2,solved,2727.562
20,10,0.025,0.30,2,3,solved,4606.641
20,10,0.025,0.30,2,4,solved,2506.266
20,10,0.025,0.30,2,5,solved,1526.547
20,10,0.025,0.30,3,1,solved,504.969
20,10,0.025,0.30,3,2,solved,773.969
20,10,0.025,0.30,3,3,solved,552.031
20,10,0.025,0.30,3,4,solved,359.312
20,10,0.025,0.30,3,5,solved,645.375
20,10,0.025,0.30,4,1,solved,750.766
20,10,0.025,0.30,4,2,solved,537.719
20,10,0.025,0.30,4,3,solved,1465.438
20,10,0.025,0.30,4,4,solved,175.875
20,10,0.025,0.30,4,5,solved,132.453
20,10,0.025,0.50,1,1,solved,20.719
20,10,0.025,0.50,1,2,solved,12.609
20,10,0.025,0.50,1,3,solved,72.562
20,10,0.025,0.50,1,4,solved,12.672
20,10,0.025,0.50,1,5,solved,14.781
20,10,0.025,0.50,2,1,solved,3181.062
20,10,0.025,0.50,2,2,solved,567.188
20,10,0.025,0.50,2,3,solved,878.766
20,10,0.025,0.50,2,4,solved,413.797
20,10,0.025,0.50,2,5,solved,623.844
20,10,0.025,0.50,3,1,solved,336.375
20,10,0.025,0.50,3,2,solved,247.109
20,10,0.025,0.50,3,3,solved,92.141
20,10,0.025,0.50,3,4,solved,129.219
20,10,0.025,0.50,3,5,solved,302.781
20,10,0.025,0.50,4,1,solved,486.281
20,10,0.025,0.50,4,2,solved,601.000
20,10,0.025,0.50,4,3,solved,633.656
20,10,0.025,0.50,4,4,solved,768.297
20,10,0.025,0.50,4,5,solved,480.953
20,10,0.025,0.70,1,1,solved,22.828
20,10,0.025,0.70,1,2,solved,7.297
20,10,0.025,0.70,1,3,solved,53.281
20,10,0.025,0.70,1,4,solved,11.812
20,10,0.025,0.70,1,5,solved,15.844
20,10,0.025,0.70,2,1,solved,785.219
20,10,0.025,0.70,2,2,solved,379.250
20,10,0.025,0.70,2,3,solved,775.172
20,10,0.025,0.70,2,4,solved,342.172
20,10,0.025,0.70,2,5,solved,151.969
20,10,0.025,0.70,3,1,solved,220.156
20,10,0.025,0.70,3,2,solved,235.766
20,10,0.025,0.70,3,3,solved,212.188
20,10,0.025,0.70,3,4,solved,228.891
20,10,0.025,0.70,3,5,solved,330.078
20,10,0.025,0.70,4,1,solved,506.734
20,10,0.025,0.70,4,2,solved,442.422
20,10,0.025,0.70,4,3,solved,234.922
20,10,0.025,0.70,4,4,solved,524.109
20,10,0.025,0.70,4,5,solved,164.922
20,20,0.050,0.30,1,1,solved,1197.312
20,20,0.050,0.30,1,2,solved,1529.000
20,20,0.050,0.30,1,3,solved,822.500
20,20,0.050,0.30,1,4,solved,1986.656
20,20,0.050,0.30,1,5,solved,922.109
20,20,0.050,0.30,2,1,solved,9285.297
20,20,0.050,0.30,2,2,solved,6093.906
20,20,0.050,0.30,2,3,solved,19715.594
20,20,0.050,0.30,2,4,solved,6073.609
20,20,0.050,0.30,2,5,solved,26600.328
20,20,0.050,0.30,3,1,solved,4179.719
20,20,0.050,0.30,3,2,solved,2170.188
20,20,0.050,0.30,3,3,solved,4485.328
20,20,0.050,0.30,3,4,solved,5029.266
20,20,0.050,0.30,3,5,solved,6747.844
20,20,0.050,0.30,4,1,solved,13146.172
20,20,0.050,0.30,4,2,solved,9078.281
20,20,0.050,0.30,4,3,solved,1964.609
20,20,0.050,0.30,4,4,solved,7253.719
20,20,0.050,0.30,4,5,solved,2702.406
20,20,0.050,0.50,1,1,solved,73.875
20,20,0.050,0.50,1,2,solved,263.016
20,20,0.050,0.50,1,3,solved,80.016
20,20,0.050,0.50,1,4,solved,235.203
20,20,0.050,0.50,1,5,solved,311.297
20,20,0.050,0.50,2,1,solved,5255.875
20,20,0.050,0.50,2,2,solved,1590.719
20,20,0.050,0.50,2,3,solved,9604.969
20,20,0.050,0.50,2,4,solved,5206.094
20,20,0.050,0.50,2,5,solved,6813.578
20,20,0.050,0.50,3,1,solved,1419.172
20,20,0.050,0.50,3,2,solved,350.297
20,20,0.050,0.50,3,3,solved,2072.266
20,20,0.050,0.50,3,4,solved,969.109
20,20,0.050,0.50,3,5,solved,750.172
20,20,0.050,0.50,4,1,solved,945.844
20,20,0.050,0.50,4,2,solved,1294.531
20,20,0.050,0.50,4,3,solved,469.297
20,20,0.050,0.50,4,4,solved,5212.828
20,20,0.050,0.50,4,5,solved,1540.875
20,20,0.050,0.70,1,1,solved,33.203
20,20,0.050,0.70,1,2,solved,212.891
20,20,0.050,0.70,1,3,solved,76.906
20,20,0.050,0.70,1,4,solved,101.531
20,20,0.050,0.70,1,5,solved,226.078
20,20,0.050,0.70,2,1,solved,1464.719
20,20,0.050,0.70,2,2,solved,3565.609
20,20,0.050,0.70,2,3,solved,1045.766
20,20,0.050,0.70,2,4,solved,1970.422
20,20,0.050,0.70,2,5,solved,3833.891
20,20,0.050,0.70,3,1,solved,252.391
20,20,0.050,0.70,3,2,solved,485.562
20,20,0.050,0.70,3,3,solved,293.891
20,20,0.050,0.70,3,4,solved,395.297
20,20,0.050,0.70,3,5,solved,269.094
20,20,0.050,0.70,4,1,solved,1061.562
20,20,0.050,0.70,4,2,solved,421.469
20,20,0.050,0.70,4,3,solved,497.688
20,20,0.050,0.70,4,4,solved,1014.406
20,20,0.050,0.70,4,5,solved,987.031
